contents,date
아이엠어히어로)숨은 영웅 + 리얼 진격좀비 좀 봐! http://blog.naver.com/fkdnf0808/220806883754 …,2016-09-07
만화친구/속닥속닥 만화소식 http://daiwon_ci.blog.me/220806146040  <따뜻따뜻 아메리카노>한국콘텐츠진흥원 신인만화지원작 우수상 수상  반지와 함께하는<애니타운 프렌즈전>  영화<아이 엠 어 히어로>국내 개봉 pic.twitter.com/rthLiLr8uc,2016-09-07
아이엠어히어로 보고싶다,2016-09-08
토욜에 [아이 엠 어 히어로]부터 봐야겠다,2016-09-08
아이엠어히어로 재밌게 읽었어서 영화도 개봉하면 보러갈까...했는데 방금 예고편 보고나니 과연 보러가도 내가 악몽을 안 꿀 수 있을지 걱정이...,2016-09-08
아맞다 나 아이엠어히어로라는 일본 좀비영화 보고왓는데 거기 범수닮은애(엑스트라)나왓음,2016-09-08
"오늘은 공교롭게도 아리무라 카스미가 주연한 (주연급으로 출연한) 영화 두 편을 보게 됐네... 불량소녀  너를 응원해!
아이 엠 어 히어로 pic.twitter.com/vqacsZrgvB",2016-09-08
아이 엠 어 히어로... 최고다. 좀비물의 끝이다. 부산행에 열광한 관객이라면 안 봐선 안 될 만큼이다. 드라마의 결은 다르나 감염자들의 뒤틀리는 몸짓과 특수분장  특수효과 모두 부산행을 능가한다. 유혈낭자 사지절단 골수분출의 놀랄 만한 모범이다.,2016-09-08
【IA】아이엠어 히어로【오리지널PV】 (4:47) #sm24137012 http://nico.ms/sm24137012?cp_webto=share_tw-spweb … #sakuraba,2016-09-08
아이엠어히어로여쏘~~~,2016-09-08
"#AK몰 페북 x [최고의 화제작! <아이 엠 어 히어로> 예매권 이벤트] 
단 한번도 본 적 없는 #감정좀비 가 온다!
2016년 좀비 열풍의 종지부를 찍을
<#아이엠어히어로> 메인예고편을 공유하고... http://fb.me/1kLVYcpSR ",2016-09-08
"#연애레시피 x [최고의 화제작! <아이 엠 어 히어로> 예매권 이벤트] 
.
단 한번도 본 적 없는 #감정좀비 가 온다! 
2016년 좀비 열풍의 종지부를 찍을
<#아이엠어히어로> 메인예고편을 공유하고... http://fb.me/1CmZ3hn1J ",2016-09-08
영화 아이엠 어 히어로 만화 원작과 흡사하게 잘 만들었네요 http://garuda.tistory.com/1823 ,2016-09-09
-어째서인지는 모르지만 미개봉작(22일 개봉예정)인 <아이엠어히어로>도 포함되어 있어 초대이벤트는 그저 일부 좌석 대상이였음. 결국 영화는 9/9~10일 기획전 스케줄 이름하에 일반상영이 이루어지던건데 ,2016-09-09
사람 마음 간사한게 한시간 전까지 버둥거렸는데 모든 문제가 해결된 지금 너무나 평온..☜(˘ㅅ˘)☞내가 당첨된 <아이엠어히어로>는 엄밀히 말해 시사회가 아니라 '특별상영 초대이벤트'였던건데 이게 알고보니 CGV에서 <추석특선 영화기획전>이 진행중이고 ,2016-09-09
영화<아이 엠 어 히어로> 예메권 증정 이벤트 (출처 : 머큐리케이스 공식 카페 (핸드폰 케이스) | 네이버 카페) http://naver.me/xs1wOdOh ,2016-09-09
그저께 만화카페가서 아이엠어히어로 다보구 몹싸 못본 뒷권도 보구왓는데....애니도 보까.........,2016-09-09
9월 22일 아이엠어 히어로 보러갈것,2016-09-09
[영화무당]‘아이 엠 어 히어로’ 예고편 보고 ‘부산행’과 비교해 ‘궁예질’하기 #영화무당 #아이엠어히어로 #부산행 #예고편 http://www.issuedaily.com/news/news_view.php?ns_idx=201609210923197957 … pic.twitter.com/MUagsJp0xd,2016-09-09
https://twitter.com/extmcommunity/status/773297228265955328 … 아이엠어히어로 역시 연상호 감독도 봤구나 ㅋㅋ 하긴 현대좀비물 하는데 저 만화는 거르고 가기 힘들긴 하니... 부산행 만들 결심은 만화 보고 했다니 ㅎㅎ,2016-09-09
어라? 아이엠어히어로 영화 시사회 후기가 뭔가 분위기 좋네? 괜찮다는 평가가 많은 걸 보니. 대신 잔인하다고 하는데 원작 분위기 생각하면 그건 납득이 가고... 보긴 봐야겠다,2016-09-09
2016-2017 아이 엠 어 히어로 2017년 9월 22일 개봉예정영화 아이 엠 어 히어로 (I am a Hero  2015) 나가사와 마사미 주연 네이버 네티즌 평가 7.89 http://blog.naver.com/rapper00/220808611083 …,2016-09-09
