contents,date
D-7! [배트맨 대 슈퍼맨: 저스티스의 시작] 전설로 남을 대결을 맞이하는 팬들의 자세는? Google Play에서 그동안의 배트맨과 슈퍼맨의 작품들을 복습하기! https://goo.gl/GnQF7k  pic.twitter.com/ilgOVyH2nd,2016-03-17
⁠ 배트맨 대 슈퍼맨: 저스티스의 시작 Batman v Superman: Dawn of Justice http://blog.naver.com/jade104/220658069148 …,2016-03-17
"3/18(금) 채널CGV
10:00 한번도안해본여자
12:10 악의연대기
14:10 헬프 
16:50 주말N영화-557회 
18:00 다크나이트★
21:00 다크나이트라이즈★
00:00 맨오브스틸★
★<배트맨 대 슈퍼맨 : 저스티스의 시작>
개봉기념",2016-03-17
<배트맨 대 슈퍼맨: 저스티스의 시작> | 진짜 싸움의 시작① http://m.maxmovie.com/news/news_view.asp?MI_ID=MI0101169828 … ㅎㅎ,2016-03-17
배트맨 대 슈퍼맨: 저스티스의 시작 3월 26일 예매가 열렸습니다. 06:55 09:55 12:55 15:55 18:55 21:55 24:55 예매가능! #판교아맥,2016-03-17
"오후 7시부터 ""배트맨 대 슈퍼맨: 저스티스의 시작"" 특별 방송이 진행됩니다!  
대만 스트리머 자곤님과 한국의 도여사님이 2시간동안 인저스티스 대결을 펼칩니다!

https://www.twitch.tv/yunlovejoy/  pic.twitter.com/SqpA4ZfBRG",2016-03-17
<배트맨 대 슈퍼맨: 저스티스의 시작> | 진짜 싸움의 시작① http://m.maxmovie.com/news/news_view.asp?MI_ID=MI0101169828 …,2016-03-17
<배트맨 대 슈퍼맨: 저스티스의 시작> | 진짜 싸움의 시작②  http://m.maxmovie.com/news/news_view.asp?MI_ID=MI0101170012 …,2016-03-17
[배트맨 대 슈퍼맨 저스티스의 시작] 박스 세트 발간 http://bbs2.ruliweb.daum.net/gaia/do/ruliweb/default/news/521/read?bbsId=G003&itemId=277&articleId=2015124 …,2016-03-18
<배트맨 대 슈퍼맨: 저스티스의 시작>을 4DX로 봐야하는 이유 http://buff.ly/1psgjX9 pic.twitter.com/dnjTY9uBWF,2016-03-18
