영화명,개봉일,관객수,스크린수,대표국적,배급사
슈퍼처방전,2014-12-10,"19,919",144,프랑스,(주)영화사 빅
누구에게나 찬란한,2014-11-06,"19,865",51,한국,CGV아트하우스
사막에서 연어낚시,2014-10-16,"19,630",92,영국,"(주)나이너스엔터테인먼트,(유)영화사 화수분"
스페이스 독 2,2014-12-11,"19,445",108,러시아,(주)지어소프트
에코,2014-10-08,"19,356",154,미국,"(주)박수엔터테인먼트,(주)필름오마쥬"
빌리 엘리어트 뮤지컬 라이브,2014-11-27,"18,615",37,미국,유니버설픽쳐스인터내셔널 코리아(유)
비포 : 치즈와 초콜릿을 찾아서,2014-07-10,"18,310",90,이스라엘,(주)영화사 빅
이디야와 얼음왕국의 전설,2014-02-27,"18,157",136,캐나다,(주)미디어데이
스톤,2014-06-12,"18,061",148,한국,씨너스엔터테인먼트(주)
본타: 땅콩왕국의 전설,2014-10-30,"18,022",179,중국,(주)팝엔터테인먼트
캡틴 하록,2014-01-16,"17,977",120,일본,(주)박수엔터테인먼트
더 테너 리리코 스핀토,2014-12-31,"17,870",185,한국,"(주)박수엔터테인먼트,(주)모인그룹"
밀리언 웨이즈,2014-06-12,"17,546",194,미국,유니버설픽쳐스인터내셔널 코리아(유)
위험한 패밀리,2014-01-22,"17,539",130,미국,(주)프레인글로벌
혼스,2014-11-27,"17,535",166,미국,(주)팝엔터테인먼트
호비와 쿠우의 어드벤처 : 고래의 노래,2014-06-12,"17,450",54,일본,"(주)머스트씨무비,(주)머스트씨무비릴리징컴퍼니"
엘리아스: 바다의 보물을 찾아라!,2014-10-23,"17,305",199,노르웨이,(주)마인스 엔터테인먼트
프라이버시,2014-03-20,"16,936",165,영국,(주)인벤트스톤
산타바바라,2014-07-16,"16,626",101,한국,(주)나이너스엔터테인먼트
오드토머스,2014-08-27,"16,555",165,미국,(주)영화사 빅
가구야공주 이야기,2014-06-04,"16,439",77,일본,롯데쇼핑㈜롯데엔터테인먼트
로코왕국의 전설: 엘프킹을 찾아서,2014-06-26,"15,846",178,중국,"(주)마인스 엔터테인먼트,(유)영화사 화수분"
웨스턴 리벤지,2014-10-30,"15,671",117,덴마크,(주)영화사 빅
모스트 원티드 맨,2014-08-07,"15,654",27,영국,"(주)드림웨스트픽쳐스,(주)인벤트스톤"
극장판 날아라! 호빵맨 : 바나나섬을 되찾아줘,2014-06-19,"15,382",235,일본,와이드 릴리즈(주)
토마스와 친구들: 잃어버린 왕관,2014-11-13,"15,202",110,영국,씨제이이앤엠(주)
스턱 인 러브,2014-02-20,"15,147",46,미국,(주)앤드플러스미디어웍스
행복한 사전,2014-02-20,"15,017",25,일본,씨네그루(주)다우기술
세이빙 산타,2013-12-19,"14,936",297,영국,(주)영화사 빅
쿼바디스,2014-12-10,"14,890",15,한국,"주식회사 단유필름,주식회사 푸르모디티"
봄,2014-11-20,"14,780",112,한국,필라멘트픽쳐스
피노키오의 모험,2014-09-18,"14,768",54,독일,(주)소나무픽쳐스
버진 스노우,2014-12-10,"14,764",126,프랑스,(주)영화사오원
"하늘을 나는 강아지, 비포와 친구들",2014-03-13,"14,746",142,이스라엘,(주)팝엔터테인먼트
피막,2014-09-25,"14,609",170,태국,와이드 릴리즈(주)
런치박스,2014-04-10,"14,470",40,인도,(주)팝엔터테인먼트
테레즈 라캥,2014-07-10,"14,385",48,미국,판씨네마(주)
중2병이라도 사랑이 하고 싶어! 극장판,2014-02-06,"14,064",32,일본,(주)머스트씨무비
프로즌 그라운드,2014-02-06,"13,979",88,미국,(주)박수엔터테인먼트
캐치미,2013-12-18,"13,692",517,한국,롯데쇼핑㈜롯데엔터테인먼트
그 사람 추기경,2014-08-06,"13,449",43,한국,주식회사 마운틴픽쳐스
황금시대,2014-10-16,"13,371",58,중국,판씨네마(주)
조난자들,2014-03-06,"13,190",46,한국,씨제이이앤엠(주)
할리데이,2014-10-16,"13,073",147,영국,(주)영화사 빅
세이빙 미스터 뱅크스,2014-04-03,"12,957",56,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
시선,2014-04-16,"12,950",112,한국,(주)나이너스엔터테인먼트
아바타 정글의 비밀,2014-03-27,"12,876",162,중국,(주)팝엔터테인먼트
디태치먼트,2014-05-08,"12,733",41,미국,(주)프레인글로벌
유아 넥스트,2014-08-07,"12,714",78,미국,㈜영화사 백두대간
사다코 2,2014-03-13,"12,696",100,일본,(주)미디어데이
르누아르,2014-02-13,"12,056",22,프랑스,프리비젼엔터테인먼트
피쉬와 칩스 극장판,2014-03-06,"11,910",158,호주,"(주)마인스 엔터테인먼트,(유)영화사 화수분"
현기증,2014-11-06,"11,785",71,한국,메가박스중앙(주)플러스엠
돈 존,2014-01-09,"11,774",49,미국,(주)미디어데이
차가운 장미,2014-05-29,"11,743",22,프랑스,(주)티캐스트콘텐츠허브
지미스 홀,2014-10-09,"11,545",34,영국,그린나래미디어(주)
곤충왕국 3D,2014-08-14,"11,263",39,한국,골든타이드픽처스(주)
닐스의 모험,2014-02-27,"11,161",107,일본,에이원엔터테인먼트
와즈다,2014-06-19,"11,135",51,기타,(주)프레인글로벌
아이스맨,2014-03-27,"10,910",20,미국,스크린조이
백투더 씨,2014-08-21,"10,566",85,중국,와이드 릴리즈(주)
추적자,2014-03-06,"10,502",5,일본,스크린조이
드래곤 기사단,2014-05-01,"10,322",91,스페인,(주)영화사 빅
천번의 굿나잇,2014-07-03,"10,209",26,노르웨이,(주)마인스 엔터테인먼트
일대일,2014-05-22,"10,141",53,한국,(주)김기덕 필름
드래프트 데이,2014-07-10,"10,119",82,미국,(주)영화사 빅
신화 라이브 3D 더 레전드 컨티뉴스,2014-12-11,"9,817",29,한국,골든타이드픽처스(주)
두 아내,2014-03-17,"9,814",2,한국,(유)조이앤컨텐츠그룹
콰이어트 원,2014-09-18,"9,736",69,영국,(주)더블앤조이픽쳐스
패딩턴,2015-01-07,"9,680",408,영국,롯데쇼핑㈜롯데엔터테인먼트
영웅: 천하의 시작,2014-03-20,"9,575",54,중국,(주)박수엔터테인먼트
로보싸커,2014-07-03,"9,541",115,말레이시아,와이드 릴리즈(주)
러브 인 비즈니스클래스,2014-03-20,"9,479",79,프랑스,(주)마인스 엔터테인먼트
한 번도 안 해본 여자,2014-01-16,"9,469",66,한국,(주)팝엔터테인먼트
아무도 머물지 않았다,2013-12-26,"9,419",26,프랑스,(주)씨에이씨엔터테인먼트
로렌스 애니웨이,2013-12-19,"9,390",27,캐나다,(주)엣나인필름
메이크 유어 무브,2014-04-17,"9,368",96,한국,씨제이이앤엠(주)
야간비행,2014-08-28,"9,157",45,한국,(주)엣나인필름
마더 데레사의 편지,2014-08-21,"8,991",65,미국,씨제이이앤엠(주)
블랙딜,2014-07-03,"8,909",74,한국,(주)인디플러그
오기와 악동들 더 무비,2014-04-17,"8,564",139,프랑스,(주)팝엔터테인먼트
더블: 달콤한 악몽,2014-09-25,"8,504",45,영국,(주)엣나인필름
반 고흐: 위대한 유산,2014-10-30,"8,497",40,네덜란드,(주)팝엔터테인먼트
스위치: 부춘산거도,2014-01-29,"8,350",2,중국,(주)팝엔터테인먼트
두갈: 마법의 회전목마,2014-03-06,"8,297",104,영국,브릿지웍스 엔터테인먼트(주)
마녀,2014-09-11,"8,144",61,한국,CGV아트하우스
레이드 2,2014-07-09,"7,971",48,인도네시아,(주)타임픽쳐스
에너미,2014-05-29,"7,967",50,캐나다,(주)영화사 진진
"의궤, 8일간의 축제 3D",2014-04-17,"7,956",16,한국,"케이비에스미디어(주),KBS 미디어"
좀비스쿨,2014-09-25,"7,721",54,한국,(주)박수엔터테인먼트
워리어스 레인보우: 항전의 시작,2014-02-20,"7,640",5,대만,스크린조이
나의 라임 오렌지 나무,2014-05-29,"7,493",47,브라질,(주)나이너스엔터테인먼트
올드보이,2014-01-16,"7,471",109,미국,(주)나이너스엔터테인먼트
배꼽과 무릎사이,2014-05-22,"7,438",20,한국,스크린조이
SX 테잎,2014-05-29,"7,229",70,미국,(주)팝엔터테인먼트
타마코 러브 스토리,2014-09-25,"7,162",27,일본,(주)머스트씨무비릴리징컴퍼니
땡스 포 쉐어링,2014-07-17,"7,132",25,미국,(주)소나무픽쳐스
"서른아홉, 열아홉",2014-09-18,"7,127",39,프랑스,판씨네마(주)
잉여들의 히치하이킹,2013-11-28,"7,115",31,한국,CGV아트하우스
액트 오브 킬링,2014-11-20,"7,080",32,덴마크,(주)엣나인필름
"소년, 소녀 그리고 바다",2014-10-09,"7,075",21,일본,(주)티캐스트콘텐츠허브
화피 2,2014-01-29,"6,980",3,중국,(주)팝엔터테인먼트
스타로부터 스무 발자국,2014-05-15,"6,970",21,미국,(주)나이너스엔터테인먼트
특수경찰: 스페셜 ID,2014-01-09,"6,920",16,중국,(주)팝엔터테인먼트
탐엣더팜,2014-05-22,"6,860",26,캐나다,(주)엣나인필름
파커,2014-12-10,"6,828",54,미국,와이드 릴리즈(주)
미하엘 콜하스의 선택,2014-02-27,"6,822",24,프랑스,(주)영화사 진진
갈증,2014-12-04,"6,807",35,일본,찬란
시절인연,2014-01-01,"6,755",24,중국,(주)드림웨스트픽쳐스
파이어스톰,2014-07-16,"6,682",82,중국,(주)인벤트스톤
사랑은 소설처럼,2014-06-12,"6,639",35,미국,(주)팝엔터테인먼트
사보타지,2014-07-23,"6,591",70,미국,(주)나이너스엔터테인먼트
비포 : 불가사의한 피라미드,2014-09-18,"6,568",72,이스라엘,(주)영화사 빅
나의 첫번째 장례식,2014-09-11,"6,446",17,벨기에,(주)판다미디어
피부색깔=꿀색,2014-05-08,"6,356",48,벨기에,(주)미루픽처스
더 파크랜드,2014-03-20,"6,354",111,미국,(주)영화사 진진
엠파이어 스테이트,2014-05-08,"6,228",73,미국,(주)박수엔터테인먼트
빨간머리 앤 : 네버엔딩스토리,2014-04-17,"6,167",96,일본,와이드 릴리즈(주)
논픽션 다이어리,2014-07-17,"6,011",28,한국,(주)영화사 진진
베일을 쓴 소녀,2014-01-23,"5,930",16,프랑스,그린나래미디어(주)
톰과 제리 아카데미 가다,2014-12-11,"5,909",54,미국,(주)팝엔터테인먼트
천주정,2014-03-27,"5,864",22,중국,(주)에스와이코마드
블러드 타이즈,2014-03-27,"5,828",95,프랑스,(주)영화사 빅
비포 : 하늘을 나는 강아지의 모험,2014-03-13,"5,781",87,이스라엘,(주)영화사 빅
위키드 블러드,2014-07-17,"5,742",20,미국,와이드 릴리즈(주)
탐욕의 제국,2014-03-06,"5,594",19,한국,(주)시네마달
파이어 : 테러와의 전쟁,2014-07-10,"5,559",20,독일,와이드 릴리즈(주)
스퀴시랜드,2014-06-04,"5,473",55,한국,(주)인벤트스톤
타임 패러독스,2015-01-07,"5,443",232,호주,(유)조이앤시네마
스틸 라이프,2014-06-05,"5,391",19,영국,(주)드림웨스트픽쳐스
브레이브 래빗 : 새로운 영웅의 탄생,2014-08-28,"5,382",60,중국,브릿지웍스 엔터테인먼트(주)
제로법칙의 비밀,2014-08-14,"5,212",17,미국,와이드 릴리즈(주)
비행소년,2014-01-15,"5,210",5,스페인,스크린조이
신촌좀비만화,2014-05-15,"5,187",46,한국,씨제이이앤엠(주)
더 체이스,2014-04-10,"5,177",69,프랑스,씨너스엔터테인먼트(주)
정사2013,2014-01-02,"5,155",5,아이슬란드,(주)소나무픽쳐스
스티븐 시걸의 비밀경찰,2014-01-29,"5,078",5,미국,(주)소나무픽쳐스
프렌즈 : 하얀 거짓말,2014-09-25,"5,073",52,프랑스,(주)마인스 엔터테인먼트
타인의 아내를 사랑하다,2014-01-09,"5,044",5,스페인,(주)소나무픽쳐스
고양이 사무라이,2014-11-27,"5,029",16,일본,어뮤즈
맛,2014-01-16,"5,021",19,한국,(주)스크린다
유혹의 기술,2014-01-23,"5,017",5,미국,(주)소나무픽쳐스
쾌걸 조로리의 공룡알을 지켜라,2014-05-15,"4,985",47,일본,얼리버드
맵 투 더 스타,2014-12-25,"4,926",29,캐나다,와이드 릴리즈(주)
백은제국,2013-12-24,"4,870",5,중국,스크린조이
최민수의 어쌔씬 코드,2013-12-24,"4,860",5,미국,(유)조이앤컨텐츠그룹
울언니,2014-12-04,"4,780",10,한국,(주)팝엔터테인먼트
밀애,2014-07-24,"4,770",19,한국,(주)레몬트리픽쳐스
1월의 두 얼굴,2014-09-11,"4,715",45,영국,(주)영화사 진진
찰리 컨트리맨,2014-08-28,"4,692",37,미국,(주)더블앤조이픽쳐스
해적왕의 황금나침반,2014-11-27,"4,682",62,독일,와이드 릴리즈(주)
어바웃 체리,2014-06-26,"4,611",18,미국,와이드 릴리즈(주)
제4 이노베이터,2014-12-18,"4,555",10,한국,삼라 주식회사
슬기로운 해법,2014-05-15,"4,496",18,한국,(주)시네마달
셜리에 관한 모든 것,2013-12-26,"4,437",7,오스트리아,(주)영화사 진진
온리 갓 포기브스,2014-04-24,"4,389",61,미국,주식회사 우리네트웍스
15소년 표류기: 해적섬을 탈출하라,2014-11-27,"4,341",56,일본,에이원엔터테인먼트
셔틀콕,2014-04-24,"4,326",31,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
뮤지엄 아워스,2014-01-23,"4,292",7,오스트리아,(주)영화사 조제
랄프 스테드먼 스토리: 이상한 나라의 친구들,2014-07-10,"4,204",17,영국,㈜인디스토리
야누스: 욕망의 두 얼굴,2014-08-14,"4,122",20,한국,(주)미디어데이
라스트 에너미,2014-03-06,"4,032",20,미국,(주)미디어데이
와이 스톱 나우,2014-10-29,"4,030",21,미국,와이드 릴리즈(주)
아버지의 이메일,2014-04-24,"4,014",21,한국,㈜인디스토리
"1789, 바스티유의 연인들",2014-09-18,"4,013",35,한국,유니버설픽쳐스인터내셔널 코리아(유)
애프터 파티,2014-10-29,"4,006",21,스페인,(주)미디어로그
하이프 네이션 : 힙합사기꾼,2014-01-16,"3,996",10,한국,(주)인벤트스톤
원피스 : 에피소드 오브 메리 ~ 또 하나의 동료 이야기 ~,2014-08-28,"3,902",79,일본,와이드 릴리즈(주)
하드데이,2014-01-16,"3,852",50,미국,(주)마인스 엔터테인먼트
소림사 2014,2014-08-28,"3,834",21,중국,(주)소나무픽쳐스
마테호른,2014-01-09,"3,833",11,네덜란드,(재)전주국제영화제조직위원회
다우더,2014-11-06,"3,788",41,한국,어뮤즈
청춘학당 : 풍기문란 보쌈 야사,2014-03-27,"3,772",57,한국,(주)박수엔터테인먼트
옹녀뎐,2014-08-21,"3,765",21,한국,(주)소나무픽쳐스
투와이스 본,2014-10-30,"3,753",32,이탈리아,주식회사 디에스이이디
위층여자,2014-10-29,"3,739",20,한국,노바엔터테인먼트
침입자들 : 로봇의 역습,2014-05-15,"3,672",20,미국,(주)미디어데이
더 덴,2014-11-20,"3,656",20,미국,와이드 릴리즈(주)
커피 한잔이 섹스에 미치는 영향,2014-06-26,"3,639",7,미국,㈜영화사 백두대간
포세이돈,2014-09-18,"3,576",20,미국,(주)소나무픽쳐스
오스카 그랜트의 어떤 하루,2014-01-16,"3,573",18,미국,(주)영화사 진진
순천,2014-09-04,"3,562",5,한국,(주)인디플러그
가자! 장미여관으로 2 - 갈증,2014-04-10,"3,534",20,한국,(주)에이블엔터테인먼트
넥스트 제네레이션 패트레이버,2014-04-24,"3,488",20,일본,와이드 릴리즈(주)
홈프론트-가족을 지켜라,2014-06-18,"3,464",55,미국,(주)팝엔터테인먼트
마네의 제비꽃 여인: 베르트 모리조,2014-07-03,"3,435",5,프랑스,씨드
토카레브,2014-10-23,"3,375",20,미국,(주)누리픽쳐스
삼총사 2014,2014-08-07,"3,354",21,러시아,(주)소나무픽쳐스
마이 보이,2014-04-10,"3,338",34,한국,(주)트리필름
무명인,2014-05-29,"3,199",51,한국,롯데쇼핑㈜롯데엔터테인먼트
왕의 이름으로 2,2014-04-03,"3,170",20,독일,(주)소나무픽쳐스
10분,2014-04-24,"3,158",23,한국,롯데쇼핑㈜롯데엔터테인먼트
백발마녀전: 명월천국,2014-10-01,"3,151",20,중국,(주)누리픽쳐스
바세코의 아이들,2014-08-14,"3,150",7,한국,주식회사 마운틴픽쳐스
"모모세, 여기를 봐",2014-10-30,"3,144",31,일본,(주)마인스 엔터테인먼트
세븐 싸이코패스,2014-09-18,"3,135",24,영국,(주)미디어로그
미피의 동물원 보물찾기,2014-03-27,"3,102",5,네덜란드,케이티하이텔(주)
해피엔딩 프로젝트,2014-02-20,"3,073",16,캐나다,(주)에스와이코마드
히트맨 NO.2 : 살인면허,2014-05-08,"3,067",21,영국,스크린조이
소리굽쇠,2014-10-30,"3,051",46,한국,씨제이이앤엠(주)
그댄 나의 뱀파이어,2014-06-12,"3,048",13,한국,주식회사 마운틴픽쳐스
진저 앤 로사,2014-05-15,"3,021",17,영국,그린나래미디어(주)
케이트 맥콜,2014-05-22,"3,014",24,미국,와이드 릴리즈(주)
내일을 위한 시간,2015-01-01,"2,999",44,벨기에,그린나래미디어(주)
제인 구달,2014-11-27,"2,998",29,독일,오드
우주로봇 씨어,2015-03-12,"2,943",185,중국,"(주)마인스 엔터테인먼트,(유)영화사 화수분"
꼬마마녀 요요와 네네,2013-12-25,"2,911",90,일본,"㈜T-JOY,씨너스엔터테인먼트(주)"
이것이 우리의 끝이다,2014-06-26,"2,898",25,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
원나잇 온리,2014-07-03,"2,886",18,한국,(주)레인보우팩토리
레디액션 청춘,2014-11-13,"2,855",22,한국,(주)인벤트스톤
우리가 들려줄 이야기,2014-03-13,"2,847",3,캐나다,(주)영화사 조제
미이라 : 피라미드의 비밀,2014-07-31,"2,797",20,미국,(주)소나무픽쳐스
미 앤 유,2014-02-27,"2,780",15,이탈리아,오드
백설공주의 마지막 키스,2014-05-01,"2,770",10,스페인,㈜영화사 백두대간
언더 더 스킨,2014-07-17,"2,750",20,영국,씨네그루(주)다우기술
여배우 공작단,2014-06-19,"2,729",21,한국,(주)케이알씨지
토미카 무비,2014-12-11,"2,719",33,일본,(주)머스트씨무비릴리징컴퍼니
여배우는 너무해,2014-02-27,"2,673",42,한국,(주)인벤트스톤
샤크어택,2014-09-04,"2,664",20,캐나다,(주)소나무픽쳐스
깨끗하고 연약한,2014-10-30,"2,661",12,일본,(유)영화사 화수분
마술피리,2014-08-02,"2,658",5,독일,(주)쓰리캣프로덕션
웨이스트 랜드,2014-04-03,"2,656",13,브라질,(주)나이너스엔터테인먼트
온 더 로드,2014-03-27,"2,622",11,미국,하준사
엘로이즈: 그녀들의 사랑,2014-02-06,"2,610",5,스페인,스크린조이
사토미를 찾아라,2014-10-16,"2,595",20,한국,브릿지웍스 엔터테인먼트(주)
태극권 2014 : 어전시위,2014-10-02,"2,579",21,중국,(주)소나무픽쳐스
대공습,2014-09-25,"2,572",20,노르웨이,(주)소나무픽쳐스
플러스 원,2014-09-25,"2,569",35,미국,(주)팝엔터테인먼트
메가 스파이더,2014-09-12,"2,519",21,미국,(주)소나무픽쳐스
아워즈,2014-04-16,"2,492",29,미국,(주)박수엔터테인먼트
해커스,2014-10-01,"2,479",20,프랑스,(주)소나무픽쳐스
브레이킹,2014-08-21,"2,474",20,미국,(주)에이블엔터테인먼트
로크,2014-06-26,"2,412",36,미국,(주)팝엔터테인먼트
워킹걸,2015-01-07,"2,369",308,한국,메가박스중앙(주)플러스엠
마이 플레이스,2014-01-30,"2,349",21,한국,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)
극장판 꽃이 피는 첫걸음 : 홈 스위트 홈,2014-07-17,"2,329",15,일본,"(주)머스트씨무비,(주)머스트씨무비릴리징컴퍼니"
못,2014-11-20,"2,329",18,한국,주식회사 마운틴픽쳐스
"시바, 인생을 던져",2013-12-19,"2,306",5,한국,(주)인디플러그
정사,2014-10-30,"2,283",20,한국,(주)소나무픽쳐스
모라토리움기의 다마코,2014-09-11,"2,273",11,일본,오드
레커스,2014-04-03,"2,263",15,영국,㈜인디스토리
하늘에서 음식이 내린다면 2,2013-11-21,"2,212",545,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
틴토 브라스의 모든 것,2014-10-29,"2,207",20,이탈리아,노바엔터테인먼트
볼쇼이 스페셜 갈라,2014-02-27,"2,205",9,러시아,그린나래미디어(주)
극장판: 타이거 앤 버니 -더 라이징-,2014-06-19,"2,197",6,일본,"㈜T-JOY,씨너스엔터테인먼트(주)"
블랙 가스펠,2013-11-14,"2,196",143,한국,(주)넥스트엔터테인먼트월드(NEW)
몽키킹: 손오공의 탄생,2014-12-10,"2,182",21,중국,주식회사 마운틴픽쳐스
러브액츄얼리: 크리스마스 에디션,2013-12-18,"2,160",82,미국,(주)팝엔터테인먼트
관계,2014-08-27,"2,146",19,한국,브릿지웍스 엔터테인먼트(주)
엄마와 나 그리고 나의 커밍아웃,2014-06-05,"2,120",15,프랑스,판씨네마(주)
메이지가 알고 있었던 일,2014-03-27,"2,117",22,미국,(주)미디어데이
레쓰링,2014-09-11,"2,116",33,한국,(주)박수엔터테인먼트
하늘의 황금마차,2014-09-04,"2,079",30,한국,(주)영화사 진진
먹이사슬,2014-09-17,"2,070",20,한국,노바엔터테인먼트
황제암살단,2014-10-08,"2,045",1,베트남,(주)소나무픽쳐스
학교 가는길,2014-11-27,"2,041",22,한국,주식회사 마운틴픽쳐스
무사 노보우: 최후의 결전,2014-06-05,"2,003",20,일본,스크린조이
결혼전야,2013-11-21,"1,993",524,한국,씨너스엔터테인먼트(주)
리턴드,2014-10-30,"1,978",21,스페인,와이드 릴리즈(주)
쇼트피스,2014-04-17,"1,975",6,일본,(주)도키엔터테인먼트
벨라 키스,2014-07-30,"1,964",19,독일,(주)에이블엔터테인먼트
아메리칸 셰프,2015-01-07,"1,961",111,미국,(주)영화사 진진
거꾸로 된 파테마,2014-04-17,"1,957",35,일본,에이원엔터테인먼트
숫호구,2014-08-07,"1,954",14,한국,(주)엣나인필름
그랜드 센트럴,2014-09-18,"1,917",12,프랑스,(주)씨에이씨엔터테인먼트
라 보엠,2014-08-02,"1,899",2,미국,(주)인스터피씨엠
만찬,2014-01-23,"1,877",20,한국,㈜인디스토리
오빠가 돌아왔다,2014-03-20,"1,861",12,한국,주식회사 마운틴픽쳐스
지옥이 뭐가 나빠,2014-11-13,"1,816",12,일본,"㈜T-JOY,메가박스중앙(주)플러스엠"
로사,2014-05-29,"1,816",7,한국,와이드 릴리즈(주)
잠자는 숲속의 미녀와 야수,2014-07-15,"1,811",21,미국,스크린조이
헬벤더스: 최후의 성전,2014-05-01,"1,801",4,미국,(주)소나무픽쳐스
조,2014-07-03,"1,789",20,미국,와이드 릴리즈(주)
프라미스드 랜드,2013-12-12,"1,786",52,미국,CGV아트하우스
괴테스쿨의 사고뭉치들,2014-11-20,"1,783",12,독일,에이원엔터테인먼트
들개,2014-04-03,"1,778",3,한국,CGV아트하우스
오토마타,2014-10-23,"1,738",21,스페인,(주)지어소프트
트랜스머신: 만테라,2014-07-15,"1,711",20,말레이시아,스크린조이
지휘자를 위한 1분,2014-12-04,"1,708",8,이탈리아,(주)영화사 진진
파티51,2014-12-11,"1,708",9,한국,㈜인디스토리
사대명포 2,2014-01-16,"1,700",5,홍콩,(주)디앤아이컴퍼니
그 참을 수 없는 맛,2014-07-09,"1,697",21,한국,(주)케이알씨지
녀녀녀,2014-04-10,"1,694",20,한국,골든타이드픽처스(주)
나는 야한 여자가 좋다,2014-07-10,"1,688",21,한국,(주)케이알씨지
투 더 원더,2014-03-06,"1,647",5,미국,(주)미디어데이
사랑의 유효기간은 3년,2014-02-13,"1,646",12,프랑스,(주)더블앤조이픽쳐스
원피스 : 에피소드 오브 나미 ~항해사의 눈물과 동료의 인연~,2014-11-06,"1,639",33,일본,와이드 릴리즈(주)
타이치2 히어로,2014-07-24,"1,635",21,중국,스크린조이
들개들,2014-01-23,"1,617",7,한국,골든타이드픽처스(주)
홈프론트-하드액션,2014-06-19,"1,598",43,미국,(주)팝엔터테인먼트
비밀과외,2014-02-13,"1,590",5,한국,(주)케이알씨지
원피스 : 에피소드 오브 루피 ~핸드 아일랜드의 모험~,2014-12-10,"1,581",17,일본,와이드 릴리즈(주)
친구 2,2013-11-14,"1,575",968,한국,롯데쇼핑㈜롯데엔터테인먼트
바리새인,2014-09-25,"1,565",20,한국,(유)영화사 화수분
열애,2014-07-23,"1,564",20,한국,(주)케이알씨지
주윤발의 도성풍운,2014-03-06,"1,556",19,홍콩,예지림엔터테인먼트
중독애,2014-07-16,"1,547",20,한국,(주)케이알씨지
잔다라 더 피날레,2014-05-01,"1,546",20,태국,(주)퍼스트런
도노반스 에코,2014-01-16,"1,544",5,캐나다,(주)미디어데이
맥아더 : 일본 침몰에 관한 불편한 해석,2014-07-17,"1,543",5,미국,(주)소나무픽쳐스
유오성의 7인의 암살단,2014-07-16,"1,537",20,중국,스크린조이
가자! 장미여관으로 3 - 방황,2014-10-08,"1,529",20,한국,(주)케이알씨지
블라인드 디텍티브,2014-01-23,"1,510",5,홍콩,(주)미디어데이
해피엔딩 네버엔딩,2014-02-13,"1,498",5,프랑스,(주)영화사 조제
스케치,2014-03-27,"1,483",22,한국,브릿지웍스 엔터테인먼트(주)
화도대전,2014-10-08,"1,480",2,중국,(주)소나무픽쳐스
바라: 축복,2014-06-05,"1,454",8,부탄,(유)영화사 화수분
대영웅 소남인,2014-12-24,"1,438",5,말레이시아,(주)소나무픽쳐스
리저너블 다우트,2014-10-02,"1,435",19,독일,와이드 릴리즈(주)
오텔로,2013-12-21,"1,412",7,독일,(주)케빈앤컴퍼니
개인교수 2014,2014-10-08,"1,407",2,미국,(주)소나무픽쳐스
성범죄 수사대,2014-10-16,"1,407",2,중국,(주)소나무픽쳐스
쌍자신투,2014-10-16,"1,407",2,홍콩,(주)소나무픽쳐스
시베리아 횡단열차: 대탈주,2014-10-23,"1,406",2,러시아,(주)소나무픽쳐스
트러블 메이커,2014-01-09,"1,402",6,미국,(주)앤드플러스미디어웍스
마드모아젤 C,2014-01-02,"1,399",6,프랑스,(주)미디어데이
레바논 감정,2014-02-27,"1,393",14,한국,어뮤즈
철의 꿈,2014-11-13,"1,386",9,한국,(주)영화사 진진
음모자들,2014-06-12,"1,385",5,홍콩,(유)조이앤컨텐츠그룹
쎄븐 플로어,2014-09-15,"1,355",17,스페인,(주)더블앤조이픽쳐스
악사들,2014-12-04,"1,346",11,한국,㈜인디스토리
테레즈 데케루,2014-12-04,"1,334",7,프랑스,㈜영화사 백두대간
슈퍼스톰,2014-05-15,"1,334",21,미국,스크린조이
랑랑 라이브 인 런던,2014-03-27,"1,327",6,독일,그린나래미디어(주)
분신사바-저주의 시작,2014-09-30,"1,313",20,중국,(유)조이앤컨텐츠그룹
샤크 스톰,2014-09-24,"1,311",20,미국,스크린조이
더 콩그레스,2014-06-05,"1,301",13,이스라엘,(주)팝엔터테인먼트
엣지 오브 타임,2014-08-14,"1,281",20,캐나다,스크린조이
숲의 전설,2014-07-24,"1,270",2,핀란드,㈜영화사 백두대간
체르노빌 다이어리,2014-02-13,"1,250",8,미국,(주)미디어데이
할리우드 폭로전,2014-02-06,"1,250",8,미국,(주)수키픽쳐스
나는 야한 여자가 좋다 2,2014-10-01,"1,248",20,한국,(주)케이알씨지
스톰 둠스데이,2014-10-01,"1,237",20,미국,(주)케이알씨지
노아-40일간의 기적,2014-08-13,"1,227",20,미국,(주)케이알씨지
위험한 유혹 - 추억이 떠나면 외로움만 남는다,2014-09-17,"1,227",20,한국,(주)케이알씨지
떡,2014-08-06,"1,225",21,한국,(주)케이알씨지
콜로니 : 지구 최후의 날,2014-02-13,"1,220",5,캐나다,(주)소나무픽쳐스
빙봉협: 중생지문,2014-08-06,"1,219",20,홍콩,(주)팝엔터테인먼트
아틀란틱 머신,2014-10-07,"1,191",20,미국,스크린조이
