영화명,개봉일,관객수,스크린수,대표국적,배급사
포가튼,2004-12-03,"251,024",30.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
빅 피쉬,2004-03-05,"244,421",24.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
라이어,2004-04-23,"220,531",25.0,한국,씨제이엔터테인먼트
빙우,2004-01-16,"216,676",26.0,한국,(주)쇼박스
스파이 키드 3D,2004-02-13,"213,051",15.0,미국,씨제이엔터테인먼트
헬보이,2004-08-20,"205,284",31.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
스텝포드 와이프,2004-10-01,"198,111",15.0,미국,씨제이엔터테인먼트
콜드 마운틴,2004-02-20,"197,465",26.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
저지 걸,2004-04-09,"184,049",24.0,미국,씨제이엔터테인먼트
안녕! 유에프오,2004-01-30,"180,513",28.0,한국,(주)튜브엔터테인먼트
택시: 더 멕시멈,2004-11-17,"174,610",21.0,미국,이십세기폭스필름코퍼레이션
내셔널 트레져,2004-12-31,"172,470",44.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
사마리아,2004-03-05,"172,000",32.0,한국,쇼이스트(주)
폴리와 함께,2004-04-02,"170,000",20.0,미국,UIP코리아
"DMZ, 비무장지대",2004-11-26,"167,652",26.0,한국,영화사청어람(주)
프린세스 다이어리 2,2004-10-29,"162,789",25.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
마지막 늑대,2004-04-01,"158,727",37.0,한국,"(주)쇼박스,영화사풍년상회(주)"
퀸카로 살아남는 법,2004-09-03,"153,000",22.0,미국,UIP코리아
2046,2004-10-15,"149,700",28.0,홍콩,이십세기폭스필름코퍼레이션
엑소시스트: 더 비기닝,2004-11-17,"145,300",27.0,미국,워너브러더스 코리아(주)
비포 선셋,2004-10-22,"145,300",19.0,미국,"THE 픽쳐스,워너브러더스 코리아(주)"
그녀를 모르면 간첩,2004-01-30,"137,413",34.0,한국,(주)쇼박스
데스티네이션 2,2004-06-11,"137,000",28.0,미국,UIP코리아
테이킹 라이브즈,2004-04-15,"135,470",25.0,미국,워너브러더스 코리아(주)
쉘 위 댄스,2004-11-12,"132,856",40.0,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
자토이치,2004-01-30,"126,748",24.0,일본,"(주)영화사 진진,인터비스앤파트너스(주)"
하나와 앨리스,2004-11-17,"126,100",26.0,일본,"(주)팝엔터테인먼트,쇼이스트(주)"
날으는 돼지 - 해적 마테오,2004-07-24,"125,000",5.0,한국,에이아이씨코리아(AIC KOREA)
